created_at,favorite_count,followers_count,friends_count,retweet_count,screen_name,text
Thu Feb 15 02:29:04 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/8qOXB0ijdw
Thu Feb 15 02:28:55 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/c6eRvrzr9k
Thu Feb 15 02:28:46 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/EqAuNYrVRd
Thu Feb 15 02:28:36 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/lTIK3tOrWf
Thu Feb 15 02:28:28 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/hh7lHTtd81
Thu Feb 15 02:28:19 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/GwvztHfpaV
Thu Feb 15 02:28:09 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/CVmwqdTqTp
Thu Feb 15 02:27:54 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/9PBOEoqP8m
Thu Feb 15 02:27:47 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/ksvfbi6UYM
Thu Feb 15 02:27:36 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/ojQ4KHnV7k
Thu Feb 15 02:27:25 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/Uo5fQM7fGK
Thu Feb 15 02:27:11 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/4YW5xiTZOI
Thu Feb 15 02:26:56 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/V5XXxF76ZA
Thu Feb 15 02:26:30 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/yV3nMxEWcL
Wed Feb 14 22:19:55 +0000 2018,1,142,497,0,ThatCleggy,So my fiancé tweets a none threatening post about not caring about Tom Daley having a baby and receives death threa… https://t.co/i1uWAx84sY
Wed Feb 14 05:47:43 +0000 2018,6,70,95,8,WHITEW0LFDOWN,"@TwitterSafety @TwitterSupport @jack @MetCC @metpoliceuk

#Israel #SupportIsrael #Christians #Jews #Trump… https://t.co/nmCcy11JKZ"
